model,best_score,best_params,ngram_range,max_features,feature_type,analyzer
pipeline_SVM,0.76,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",500,tfidf,word
pipeline_SVM,0.8,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",500,tfidf,char
pipeline_SVM,0.82,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",500,BoW,word
pipeline_SVM,0.79,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",500,BoW,char
pipeline_SVM,0.72,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",1000,tfidf,word
pipeline_SVM,0.8,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",1000,tfidf,char
pipeline_SVM,0.7500000000000001,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",1000,BoW,word
pipeline_SVM,0.79,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",1000,BoW,char
pipeline_SVM,0.6,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",3000,tfidf,word
pipeline_SVM,0.8,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",3000,tfidf,char
pipeline_SVM,0.7,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",3000,BoW,word
pipeline_SVM,0.79,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",3000,BoW,char
pipeline_SVM,0.6900000000000001,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",500,tfidf,word
pipeline_SVM,0.7700000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",500,tfidf,char
pipeline_SVM,0.69,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",500,BoW,word
pipeline_SVM,0.74,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",500,BoW,char
pipeline_SVM,0.75,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",1000,tfidf,word
pipeline_SVM,0.7699999999999999,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",1000,tfidf,char
pipeline_SVM,0.74,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",1000,BoW,word
pipeline_SVM,0.7300000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",1000,BoW,char
pipeline_SVM,0.6900000000000001,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",3000,tfidf,word
pipeline_SVM,0.75,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",3000,tfidf,char
pipeline_SVM,0.7000000000000001,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",3000,BoW,word
pipeline_SVM,0.7300000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",3000,BoW,char
pipeline_SVM,0.65,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",500,tfidf,word
pipeline_SVM,0.8099999999999999,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",500,tfidf,char
pipeline_SVM,0.6,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",500,BoW,word
pipeline_SVM,0.8,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",500,BoW,char
pipeline_SVM,0.65,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",1000,tfidf,word
pipeline_SVM,0.8300000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",1000,tfidf,char
pipeline_SVM,0.6300000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",1000,BoW,word
pipeline_SVM,0.8200000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",1000,BoW,char
pipeline_SVM,0.65,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",3000,tfidf,word
