model,best_score,best_params,ngram_range,max_features,feature_type,analyzer,samples
pipeline_LR,0.76,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.2222222222222222, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(1, 1)",1000,tfidf,char,100
pipeline_LR,0.7799999999999999,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.2222222222222222, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(1, 1)",1000,tfidf,word,100
pipeline_LR,0.75,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.3333333333333333, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(1, 1)",1000,BoW,char,100
pipeline_LR,0.7899999999999999,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.3333333333333333, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}","(1, 1)",1000,BoW,word,100
pipeline_LR,0.76,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.2222222222222222, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(1, 1)",3000,tfidf,char,100
pipeline_LR,0.71,"{'classifier__C': 1, 'classifier__l1_ratio': 0.2222222222222222, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(1, 1)",3000,tfidf,word,100
pipeline_LR,0.75,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.3333333333333333, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(1, 1)",3000,BoW,char,100
pipeline_LR,0.8,"{'classifier__C': 10, 'classifier__l1_ratio': 0.0, 'classifier__max_iter': 1000, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}","(1, 1)",3000,BoW,word,100
pipeline_LR,0.76,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.1111111111111111, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(2, 2)",1000,tfidf,char,100
pipeline_LR,0.6799999999999999,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.1111111111111111, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(2, 2)",1000,tfidf,word,100
pipeline_LR,0.78,"{'classifier__C': 1, 'classifier__l1_ratio': 0.3333333333333333, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(2, 2)",1000,BoW,char,100
pipeline_LR,0.6399999999999999,"{'classifier__C': 10, 'classifier__l1_ratio': 0.3333333333333333, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(2, 2)",1000,BoW,word,100
pipeline_LR,0.7899999999999999,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.2222222222222222, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}","(2, 2)",3000,tfidf,char,100
