0,1
"{'model': 'pipeline_SVM', 'best_score': 0.6, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (1, 1), 'max_features': 1000, 'feature_type': 'tfidf', 'analyzer': 'char', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.8, 'best_params': {'classifier__C': 0.1, 'classifier__l1_ratio': 0.1111111111111111, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}, 'ngram_range': (1, 1), 'max_features': 1000, 'feature_type': 'tfidf', 'analyzer': 'char', 'samples': 10}"
"{'model': 'pipeline_SVM', 'best_score': 0.9, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (1, 1), 'max_features': 1000, 'feature_type': 'tfidf', 'analyzer': 'word', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.9, 'best_params': {'classifier__C': 0.01, 'classifier__l1_ratio': 0.0, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}, 'ngram_range': (1, 1), 'max_features': 1000, 'feature_type': 'tfidf', 'analyzer': 'word', 'samples': 10}"
"{'model': 'pipeline_SVM', 'best_score': 0.5, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (1, 1), 'max_features': 1000, 'feature_type': 'BoW', 'analyzer': 'char', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.9, 'best_params': {'classifier__C': 10, 'classifier__l1_ratio': 0.0, 'classifier__max_iter': 1000, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}, 'ngram_range': (1, 1), 'max_features': 1000, 'feature_type': 'BoW', 'analyzer': 'char', 'samples': 10}"
"{'model': 'pipeline_SVM', 'best_score': 0.8, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (1, 1), 'max_features': 1000, 'feature_type': 'BoW', 'analyzer': 'word', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.8, 'best_params': {'classifier__C': 0.01, 'classifier__l1_ratio': 0.0, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}, 'ngram_range': (1, 1), 'max_features': 1000, 'feature_type': 'BoW', 'analyzer': 'word', 'samples': 10}"
"{'model': 'pipeline_SVM', 'best_score': 0.6, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (1, 1), 'max_features': 3000, 'feature_type': 'tfidf', 'analyzer': 'char', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.8, 'best_params': {'classifier__C': 0.1, 'classifier__l1_ratio': 0.1111111111111111, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}, 'ngram_range': (1, 1), 'max_features': 3000, 'feature_type': 'tfidf', 'analyzer': 'char', 'samples': 10}"
"{'model': 'pipeline_SVM', 'best_score': 0.6, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (1, 1), 'max_features': 3000, 'feature_type': 'tfidf', 'analyzer': 'word', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.7, 'best_params': {'classifier__C': 0.1, 'classifier__l1_ratio': 0.1111111111111111, 'classifier__max_iter': 1000, 'classifier__penalty': 'elasticnet', 'classifier__solver': 'saga'}, 'ngram_range': (1, 1), 'max_features': 3000, 'feature_type': 'tfidf', 'analyzer': 'word', 'samples': 10}"
"{'model': 'pipeline_SVM', 'best_score': 0.5, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (1, 1), 'max_features': 3000, 'feature_type': 'BoW', 'analyzer': 'char', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.9, 'best_params': {'classifier__C': 10, 'classifier__l1_ratio': 0.0, 'classifier__max_iter': 1000, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}, 'ngram_range': (1, 1), 'max_features': 3000, 'feature_type': 'BoW', 'analyzer': 'char', 'samples': 10}"
"{'model': 'pipeline_SVM', 'best_score': 0.8, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (1, 1), 'max_features': 3000, 'feature_type': 'BoW', 'analyzer': 'word', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.8, 'best_params': {'classifier__C': 0.01, 'classifier__l1_ratio': 0.0, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}, 'ngram_range': (1, 1), 'max_features': 3000, 'feature_type': 'BoW', 'analyzer': 'word', 'samples': 10}"
"{'model': 'pipeline_SVM', 'best_score': 0.6, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (2, 2), 'max_features': 1000, 'feature_type': 'tfidf', 'analyzer': 'char', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.5, 'best_params': {'classifier__C': 0.01, 'classifier__l1_ratio': 0.0, 'classifier__max_iter': 1000, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}, 'ngram_range': (2, 2), 'max_features': 1000, 'feature_type': 'tfidf', 'analyzer': 'char', 'samples': 10}"
"{'model': 'pipeline_SVM', 'best_score': 0.7, 'best_params': {'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}, 'ngram_range': (2, 2), 'max_features': 1000, 'feature_type': 'tfidf', 'analyzer': 'word', 'samples': 10}","{'model': 'pipeline_LR', 'best_score': 0.7, 'best_params': {'classifier__C': 0.01, 'classifier__l1_ratio': 0.0, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}, 'ngram_range': (2, 2), 'max_features': 1000, 'feature_type': 'tfidf', 'analyzer': 'word', 'samples': 10}"
